# MSVC vtables of default.xex, named from their RTTI locator.
# Produced by scripts/SweepMsvcRtti.java, read-only, no oracle.
# An entry appears only when the whole chain resolves - locator, type
# descriptor, a name beginning '.?A', and a first slot pointing into an
# executable block. 1619 locator-like words failed a step; they are counted in
# the sweep summary and deliberately not named here.
# class is a best-effort undecoration and is EMPTY for templates: the mangled
# column is the authoritative name. bases are 'mangled@mdisp' in decimal.
# columns: vtable class bases mangled
0x82010b78	NU::Draw::DrawOrderBase	.?AVDrawOrderBase@Draw@NU@@@0	.?AVDrawOrderBase@Draw@NU@@
0x8205516c	CX360ObjManager	.?AVCX360ObjManager@@@0;.?AVCAce6ObjManager@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCX360ObjManager@@
0x82055190	CX360UnitManager	.?AVCX360UnitManager@@@0;.?AVCAce6UnitManager@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCX360UnitManager@@
0x820551ac	ACE6::CAce6LightEffectManager	.?AVCAce6LightEffectManager@ACE6@@@0	.?AVCAce6LightEffectManager@ACE6@@
0x820551b4	CX360ArmsManager	.?AVCX360ArmsManager@@@0;.?AVCAce6ArmsManager@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCX360ArmsManager@@
0x82055254	ACE6::CAce6SuspensionManager	.?AVCAce6SuspensionManager@ACE6@@@0	.?AVCAce6SuspensionManager@ACE6@@
0x8205526c	CX360SuspensionManager	.?AVCX360SuspensionManager@@@0;.?AVCAce6SuspensionManager@ACE6@@@0	.?AVCX360SuspensionManager@@
0x82055284	CX360ReplayManager	.?AVCX360ReplayManager@@@0;.?AVCAce6ReplayManager@ACE6@@@0	.?AVCX360ReplayManager@@
0x820552ac	ACE6::CAce6ArmsCamera	.?AVCAce6ArmsCamera@ACE6@@@0	.?AVCAce6ArmsCamera@ACE6@@
0x820552b4	ACE6::CAce6HudDrawObjects	.?AVCAce6HudDrawObjects@ACE6@@@0	.?AVCAce6HudDrawObjects@ACE6@@
0x820552bc	ACE6::CAce6HudRenderer	.?AVCAce6HudRenderer@ACE6@@@0	.?AVCAce6HudRenderer@ACE6@@
0x820552dc	ACE6::CAce6HudSound	.?AVCAce6HudSound@ACE6@@@0	.?AVCAce6HudSound@ACE6@@
0x820552e4	ACE6::CAce6HudArmsMissile	.?AVCAce6HudArmsMissile@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsMissile@ACE6@@
0x82055300	ACE6::CAce6HudArmsMissileSP	.?AVCAce6HudArmsMissileSP@ACE6@@@0;.?AVCAce6HudArmsMissile@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsMissileSP@ACE6@@
0x8205531c	ACE6::CAce6HudArmsMissileGRD	.?AVCAce6HudArmsMissileGRD@ACE6@@@0;.?AVCAce6HudArmsMissileSP@ACE6@@@0;.?AVCAce6HudArmsMissile@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsMissileGRD@ACE6@@
0x82055338	ACE6::CAce6HudArmsMissileSAAM	.?AVCAce6HudArmsMissileSAAM@ACE6@@@0;.?AVCAce6HudArmsMissileSP@ACE6@@@0;.?AVCAce6HudArmsMissile@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsMissileSAAM@ACE6@@
0x82055354	ACE6::CAce6HudArmsBomb	.?AVCAce6HudArmsBomb@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsBomb@ACE6@@
0x82055370	ACE6::CAce6HudArmsBombBDSP	.?AVCAce6HudArmsBombBDSP@ACE6@@@0;.?AVCAce6HudArmsBomb@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsBombBDSP@ACE6@@
0x8205538c	ACE6::CAce6HudArmsBombGPB	.?AVCAce6HudArmsBombGPB@ACE6@@@0;.?AVCAce6HudArmsBomb@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsBombGPB@ACE6@@
0x820553a8	ACE6::CAce6HudArmsDotsight	.?AVCAce6HudArmsDotsight@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsDotsight@ACE6@@
0x820553c4	ACE6::CAce6HudArmsRocket	.?AVCAce6HudArmsRocket@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsRocket@ACE6@@
0x820553e0	ACE6::CAce6HudArmsECMP	.?AVCAce6HudArmsECMP@ACE6@@@0;.?AVCAce6HudArms@ACE6@@@0	.?AVCAce6HudArmsECMP@ACE6@@
0x820553fc	ACE6::CAce6HudLanding	.?AVCAce6HudLanding@ACE6@@@0	.?AVCAce6HudLanding@ACE6@@
0x82055404	ACE6::CAce6HudRefuel	.?AVCAce6HudRefuel@ACE6@@@0	.?AVCAce6HudRefuel@ACE6@@
0x8205540c	ACE6::CAce6HudIF	.?AVCAce6HudIF@ACE6@@@0	.?AVCAce6HudIF@ACE6@@
0x8205543c	ACE6::CAce6HudObjectBase	.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudObjectBase@ACE6@@
0x82055448	ACE6::CAce6HudPlain	.?AVCAce6HudPlain@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudPlain@ACE6@@
0x82055454	ACE6::CAce6HudMulti	.?AVCAce6HudMulti@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudMulti@ACE6@@
0x82055460	ACE6::CAce6HudWeapon	.?AVCAce6HudWeapon@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudWeapon@ACE6@@
0x8205546c	ACE6::CAce6HudOrder	.?AVCAce6HudOrder@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudOrder@ACE6@@
0x82055478	ACE6::CAce6HudDisplay	.?AVCAce6HudDisplay@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudDisplay@ACE6@@
0x82055484	ACE6::CAce6HudContainer	.?AVCAce6HudContainer@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudContainer@ACE6@@
0x82055490	ACE6::CAce6HudRader	.?AVCAce6HudRader@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudRader@ACE6@@
0x8205549c	ACE6::CAce6HudRader::RaderObj	.?AVRaderObj@CAce6HudRader@ACE6@@@0	.?AVRaderObj@CAce6HudRader@ACE6@@
0x820554a8	ACE6::CAce6HudRader::RaderObjNaviMaker	.?AVRaderObjNaviMaker@CAce6HudRader@ACE6@@@0;.?AVRaderObj@CAce6HudRader@ACE6@@@0	.?AVRaderObjNaviMaker@CAce6HudRader@ACE6@@
0x820554b4	ACE6::CAce6HudRader::RaderObjJamming	.?AVRaderObjJamming@CAce6HudRader@ACE6@@@0;.?AVRaderObj@CAce6HudRader@ACE6@@@0	.?AVRaderObjJamming@CAce6HudRader@ACE6@@
0x820554c0	ACE6::CAce6HudRader::RaderObjPrediction	.?AVRaderObjPrediction@CAce6HudRader@ACE6@@@0;.?AVRaderObj@CAce6HudRader@ACE6@@@0	.?AVRaderObjPrediction@CAce6HudRader@ACE6@@
0x820554cc	ACE6::CAce6HudRader::RaderObjTraget	.?AVRaderObjTraget@CAce6HudRader@ACE6@@@0;.?AVRaderObj@CAce6HudRader@ACE6@@@0	.?AVRaderObjTraget@CAce6HudRader@ACE6@@
0x820554d8	ACE6::CAce6HudReplay	.?AVCAce6HudReplay@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudReplay@ACE6@@
0x820554e4	ACE6::CAce6HudOperationClear	.?AVCAce6HudOperationClear@ACE6@@@0;.?AVCAce6HudObjectBase@ACE6@@@0	.?AVCAce6HudOperationClear@ACE6@@
0x820554f4	ACE6::CAce6HudNotifyImpl	.?AVCAce6HudNotifyImpl@ACE6@@@0;.?AVCAce6HudNotify@ACE6@@@0	.?AVCAce6HudNotifyImpl@ACE6@@
0x82055544		.?AV?$CAce6HudImpl@VCX360HudRenderer@@@ACE6@@@0;.?AVCAce6Hud@ACE6@@@0;.?AVCAce6HudIF@ACE6@@@0;.?AVCAce6Thread@ACE6@@@4;.?AVCAce6HudRenderer@ACE6@@@167200	.?AV?$CAce6HudImpl@VCX360HudRenderer@@@ACE6@@
0x8205558c		.?AV?$CAce6HudImpl@VCX360HudRenderer@@@ACE6@@@0;.?AVCAce6Hud@ACE6@@@0;.?AVCAce6HudIF@ACE6@@@0;.?AVCAce6Thread@ACE6@@@4;.?AVCAce6HudRenderer@ACE6@@@167200	.?AV?$CAce6HudImpl@VCX360HudRenderer@@@ACE6@@
0x82055598		.?AV?$CAce6HudImpl@VCX360HudRenderer@@@ACE6@@@0;.?AVCAce6Hud@ACE6@@@0;.?AVCAce6HudIF@ACE6@@@0;.?AVCAce6Thread@ACE6@@@4;.?AVCAce6HudRenderer@ACE6@@@167200	.?AV?$CAce6HudImpl@VCX360HudRenderer@@@ACE6@@
0x820555bc	CX360MissionManagerOnline	.?AVCX360MissionManagerOnline@@@0;.?AV?$CX360MissionManager@VCAce6MissionManagerOnline@ACE6@@@@@0;.?AVCAce6MissionManagerOnline@ACE6@@@0;.?AVCAce6MissionManager@ACE6@@@0;.?AV?$CFsm@VCAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@840	.?AVCX360MissionManagerOnline@@
0x820556c0	CX360MissionManagerOnline	.?AVCX360MissionManagerOnline@@@0;.?AV?$CX360MissionManager@VCAce6MissionManagerOnline@ACE6@@@@@0;.?AVCAce6MissionManagerOnline@ACE6@@@0;.?AVCAce6MissionManager@ACE6@@@0;.?AV?$CFsm@VCAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@840	.?AVCX360MissionManagerOnline@@
0x820556cc		.?AV?$CX360MissionManager@VCAce6MissionManagerOnline@ACE6@@@@@0;.?AVCAce6MissionManagerOnline@ACE6@@@0;.?AVCAce6MissionManager@ACE6@@@0;.?AV?$CFsm@VCAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@840	.?AV?$CX360MissionManager@VCAce6MissionManagerOnline@ACE6@@@@
0x820557d0		.?AV?$CX360MissionManager@VCAce6MissionManagerOnline@ACE6@@@@@0;.?AVCAce6MissionManagerOnline@ACE6@@@0;.?AVCAce6MissionManager@ACE6@@@0;.?AV?$CFsm@VCAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@840	.?AV?$CX360MissionManager@VCAce6MissionManagerOnline@ACE6@@@@
0x820557fc	CX360ObjManagerThread	.?AVCX360ObjManagerThread@@@0;.?AVCAce6ObjManagerThread@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCX360ObjManagerThread@@
0x82055808	CX360ObjPlayerLightManager	.?AVCX360ObjPlayerLightManager@@@0;.?AVCAce6ObjPlayerLightManager@ACE6@@@0	.?AVCX360ObjPlayerLightManager@@
0x8205626c	ACE6::CAce6Txtio	.?AVCAce6Txtio@ACE6@@@0	.?AVCAce6Txtio@ACE6@@
0x82056334	CTxtioXML	.?AVCTxtioXML@@@0;.?AVCAce6Txtio@ACE6@@@0	.?AVCTxtioXML@@
0x82056410	CX360EnginePlayerGT	.?AVCX360EnginePlayerGT@@@0;.?AVCAce6EnginePlayerGT@ACE6@@@0;.?AVCAce6GeneralTunerBase@ACE6@@@0	.?AVCX360EnginePlayerGT@@
0x8205641c	CX360CameraManagerGT	.?AVCX360CameraManagerGT@@@0;.?AVCAce6CameraManagerGT@ACE6@@@0;.?AVCAce6GeneralTunerBase@ACE6@@@0	.?AVCX360CameraManagerGT@@
0x8205642c	ACE6::CAce6RadioTextData	.?AVCAce6RadioTextData@ACE6@@@0	.?AVCAce6RadioTextData@ACE6@@
0x82056444	ACE6::CAce6RadioText	.?AVCAce6RadioText@ACE6@@@0	.?AVCAce6RadioText@ACE6@@
0x8205647c	ACE6::CAce6RadioTextDecorate	.?AVCAce6RadioTextDecorate@ACE6@@@0	.?AVCAce6RadioTextDecorate@ACE6@@
0x820564a4	ACE6::CAce6RadioPlayData	.?AVCAce6RadioPlayData@ACE6@@@0	.?AVCAce6RadioPlayData@ACE6@@
0x820564ac	ACE6::CAce6RadioPackData	.?AVCAce6RadioPackData@ACE6@@@0	.?AVCAce6RadioPackData@ACE6@@
0x820564b4	ACE6::CAce6RadioLivePlayControlData	.?AVCAce6RadioLivePlayControlData@ACE6@@@0	.?AVCAce6RadioLivePlayControlData@ACE6@@
0x820564c8	ACE6::CAce6RadioLivePlayControlDataOnline	.?AVCAce6RadioLivePlayControlDataOnline@ACE6@@@0;.?AVCAce6RadioLivePlayControlData@ACE6@@@0	.?AVCAce6RadioLivePlayControlDataOnline@ACE6@@
0x820564dc	ACE6::CAce6RadioMissionData	.?AVCAce6RadioMissionData@ACE6@@@0	.?AVCAce6RadioMissionData@ACE6@@
0x820564e4	ACE6::CAce6RadioResourceManagerBase	.?AVCAce6RadioResourceManagerBase@ACE6@@@0	.?AVCAce6RadioResourceManagerBase@ACE6@@
0x82056530	ACE6::CAce6RadioPackTable	.?AVCAce6RadioPackTable@ACE6@@@0	.?AVCAce6RadioPackTable@ACE6@@
0x8205653c	ACE6::CAce6RadioRequestPackTable	.?AVCAce6RadioRequestPackTable@ACE6@@@0	.?AVCAce6RadioRequestPackTable@ACE6@@
0x82056544	ACE6::CAce6RadioArrivalPackTable	.?AVCAce6RadioArrivalPackTable@ACE6@@@0	.?AVCAce6RadioArrivalPackTable@ACE6@@
0x8205654c	ACE6::CAce6RadioPlayManagerOnline	.?AVCAce6RadioPlayManagerOnline@ACE6@@@0;.?AVCAce6RadioPlayManager@ACE6@@@0	.?AVCAce6RadioPlayManagerOnline@ACE6@@
0x820565b4	ACE6::CAce6RadioResourceManagerCampaign	.?AVCAce6RadioResourceManagerCampaign@ACE6@@@0;.?AVCAce6RadioResourceManagerBase@ACE6@@@0	.?AVCAce6RadioResourceManagerCampaign@ACE6@@
0x82056604	ACE6::CAce6RadioResourceManagerOnline	.?AVCAce6RadioResourceManagerOnline@ACE6@@@0;.?AVCAce6RadioResourceManagerBase@ACE6@@@0	.?AVCAce6RadioResourceManagerOnline@ACE6@@
0x82056650	CX360RadioTextDecorate	.?AVCX360RadioTextDecorate@@@0;.?AVCAce6RadioTextDecorate@ACE6@@@0	.?AVCX360RadioTextDecorate@@
0x8205667c	CX360RadioText	.?AVCX360RadioText@@@0;.?AVCAce6RadioText@ACE6@@@0	.?AVCX360RadioText@@
0x820566c0	CX360RadioTextData	.?AVCX360RadioTextData@@@0;.?AVCAce6RadioTextData@ACE6@@@0	.?AVCX360RadioTextData@@
0x820566e4	CX360RadioPlayManagerCampaign	.?AVCX360RadioPlayManagerCampaign@@@0;.?AVCAce6RadioPlayManager@ACE6@@@0	.?AVCX360RadioPlayManagerCampaign@@
0x8205674c	CX360RadioPlayManagerOnline	.?AVCX360RadioPlayManagerOnline@@@0;.?AVCAce6RadioPlayManagerOnline@ACE6@@@0;.?AVCAce6RadioPlayManager@ACE6@@@0	.?AVCX360RadioPlayManagerOnline@@
0x820567b4	CX360RadioResourceManagerCampaign	.?AVCX360RadioResourceManagerCampaign@@@0;.?AVCAce6RadioResourceManagerCampaign@ACE6@@@0;.?AVCAce6RadioResourceManagerBase@ACE6@@@0	.?AVCX360RadioResourceManagerCampaign@@
0x82056804	CX360RadioResourceManagerOnline	.?AVCX360RadioResourceManagerOnline@@@0;.?AVCAce6RadioResourceManagerOnline@ACE6@@@0;.?AVCAce6RadioResourceManagerBase@ACE6@@@0	.?AVCX360RadioResourceManagerOnline@@
0x82056850	CX360RadioManager	.?AVCX360RadioManager@@@0;.?AVCAce6RadioManager@ACE6@@@0	.?AVCX360RadioManager@@
0x82056874	ACE6::CAce6Unit	.?AVCAce6Unit@ACE6@@@0	.?AVCAce6Unit@ACE6@@
0x820568d4	ACE6::CAce6UnitPlayer	.?AVCAce6UnitPlayer@ACE6@@@0;.?AVCAce6Unit@ACE6@@@0	.?AVCAce6UnitPlayer@ACE6@@
0x82056934	ACE6::CAce6UnitOtherPlayer	.?AVCAce6UnitOtherPlayer@ACE6@@@0;.?AVCAce6UnitPlayer@ACE6@@@0;.?AVCAce6Unit@ACE6@@@0	.?AVCAce6UnitOtherPlayer@ACE6@@
0x820569b4	CDebugNetwork	.?AVCDebugNetwork@@@0	.?AVCDebugNetwork@@
0x820569cc	ACE6::CAce6Task	.?AVCAce6Task@ACE6@@@0	.?AVCAce6Task@ACE6@@
0x820569fc	ACE6::CAce6HDR	.?AVCAce6HDR@ACE6@@@0;.?AVCAce6PostEffectBase@ACE6@@@0	.?AVCAce6HDR@ACE6@@
0x82056a08	ACE6::CAce6CommunicationBase	.?AVCAce6CommunicationBase@ACE6@@@0	.?AVCAce6CommunicationBase@ACE6@@
0x82056a14	ACE6::CAce6ReductionBuffer	.?AVCAce6ReductionBuffer@ACE6@@@0;.?AVCAce6PostEffectBase@ACE6@@@0	.?AVCAce6ReductionBuffer@ACE6@@
0x82056a48	CTaskNetTestClientMode	.?AVCTaskNetTestClientMode@@@0;.?AVCAce6Task@ACE6@@@0	.?AVCTaskNetTestClientMode@@
0x82056a78	CTaskNetTestHostMode	.?AVCTaskNetTestHostMode@@@0;.?AVCAce6Task@ACE6@@@0	.?AVCTaskNetTestHostMode@@
0x82056abc	ACE6::CAce6DebugMenuSelect	.?AVCAce6DebugMenuSelect@ACE6@@@0	.?AVCAce6DebugMenuSelect@ACE6@@
0x82056adc	ACE6::CAce6SortPoint	.?AVCAce6SortPoint@ACE6@@@0	.?AVCAce6SortPoint@ACE6@@
0x82056b64	ACE6::CAce6EffectGenerator	.?AVCAce6EffectGenerator@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCAce6EffectGenerator@ACE6@@
0x82056c0c	ACE6::CAce6EffectGeneratorBGCloud	.?AVCAce6EffectGeneratorBGCloud@ACE6@@@0;.?AVCAce6EffectGenerator@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCAce6EffectGeneratorBGCloud@ACE6@@
0x82056cbc	ACE6::CAce6CloudManager	.?AVCAce6CloudManager@ACE6@@@0	.?AVCAce6CloudManager@ACE6@@
0x82056d00	CEffectRendererBase	.?AVCEffectRendererBase@@@0	.?AVCEffectRendererBase@@
0x82056d14	CCloud	.?AVCCloud@@@0;.?AVCEffectRendererBase@@@0	.?AVCCloud@@
0x82056d2c	CEffectGeneratorCloud	.?AVCEffectGeneratorCloud@@@0;.?AVCAce6EffectGenerator@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCEffectGeneratorCloud@@
0x82056dd4	CEffectObjCloudObserver	.?AVCEffectObjCloudObserver@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCEffectObjCloudObserver@@
0x82056e5c	CBGCloud	.?AVCBGCloud@@@0;.?AVCEffectRendererBase@@@0	.?AVCBGCloud@@
0x82056e74	CEffectGeneratorBGCloud	.?AVCEffectGeneratorBGCloud@@@0;.?AVCAce6EffectGeneratorBGCloud@ACE6@@@0;.?AVCAce6EffectGenerator@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCEffectGeneratorBGCloud@@
0x82056f20	CFlatCloud	.?AVCFlatCloud@@@0;.?AVCEffectRendererBase@@@0	.?AVCFlatCloud@@
0x82056f34	CEffectGeneratorFlatCloud	.?AVCEffectGeneratorFlatCloud@@@0;.?AVCAce6EffectGeneratorFlatCloud@ACE6@@@0;.?AVCAce6EffectGenerator@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCEffectGeneratorFlatCloud@@
0x82056fe0	CBGFlatCloud	.?AVCBGFlatCloud@@@0;.?AVCEffectRendererBase@@@0	.?AVCBGFlatCloud@@
0x82056ff4	CEffectGeneratorBGFlatCloud	.?AVCEffectGeneratorBGFlatCloud@@@0;.?AVCAce6EffectGeneratorBGFlatCloud@ACE6@@@0;.?AVCAce6EffectGenerator@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCEffectGeneratorBGFlatCloud@@
0x820570a4	CCloudManager	.?AVCCloudManager@@@0;.?AVCAce6CloudManager@ACE6@@@0	.?AVCCloudManager@@
0x820571e4	CCloudPositionEditorConnection	.?AVCCloudPositionEditorConnection@@@0;.?AVCAce6CommunicationBase@ACE6@@@0	.?AVCCloudPositionEditorConnection@@
0x82057238	ACE6::CAce6EffectNode	.?AVCAce6EffectNode@ACE6@@@0	.?AVCAce6EffectNode@ACE6@@
0x82057240	ACE6::CAce6EffectNode::SEffectNULL	.?AUSEffectNULL@CAce6EffectNode@ACE6@@@0	.?AUSEffectNULL@CAce6EffectNode@ACE6@@
0x82057258	CEffectNode	.?AVCEffectNode@@@0;.?AVCAce6EffectNode@ACE6@@@0	.?AVCEffectNode@@
0x82057260	CEffectNode::SEffectNULLCustom	.?AUSEffectNULLCustom@CEffectNode@@@0;.?AUSEffectNULL@CAce6EffectNode@ACE6@@@0	.?AUSEffectNULLCustom@CEffectNode@@
0x820572c0	galib::CGaObj	.?AVCGaObj@galib@@@0	.?AVCGaObj@galib@@
0x820572fc	ACE6::CAce6EffectClippingQue	.?AVCAce6EffectClippingQue@ACE6@@@0	.?AVCAce6EffectClippingQue@ACE6@@
0x82057304	ACE6::CAce6EffectWorker	.?AVCAce6EffectWorker@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCAce6EffectWorker@ACE6@@
0x82057318	CEffectWorker	.?AVCEffectWorker@@@0;.?AVCAce6EffectWorker@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCEffectWorker@@
0x8205733c	CMotionBlurTuner	.?AVCMotionBlurTuner@@@0;.?AVCAce6GeneralTunerBase@ACE6@@@0	.?AVCMotionBlurTuner@@
0x82057358	CAfterImageTuner	.?AVCAfterImageTuner@@@0;.?AVCAce6GeneralTunerBase@ACE6@@@0	.?AVCAfterImageTuner@@
0x82057364	CShoulderVaporVertexProcessor	.?AVCShoulderVaporVertexProcessor@@@0	.?AVCShoulderVaporVertexProcessor@@
0x82057830	ACE6::CAce6ObjWeather	.?AVCAce6ObjWeather@ACE6@@@0;.?AVCGaObj@galib@@@0	.?AVCAce6ObjWeather@ACE6@@
0x8205786c	ACE6::CAce6EffectAssignTable	.?AVCAce6EffectAssignTable@ACE6@@@0	.?AVCAce6EffectAssignTable@ACE6@@
0x82057878	ACE6::CAce6EffectBufferSelector	.?AVCAce6EffectBufferSelector@ACE6@@@0	.?AVCAce6EffectBufferSelector@ACE6@@
0x82057880	ACE6::CAce6VertexBufferReserveSystem	.?AVCAce6VertexBufferReserveSystem@ACE6@@@0	.?AVCAce6VertexBufferReserveSystem@ACE6@@
0x82057888	ACE6::CAce6ObjEffectManager	.?AVCAce6ObjEffectManager@ACE6@@@0	.?AVCAce6ObjEffectManager@ACE6@@
0x82057894	ACE6::CAce6EffectGeneratorMemorySize	.?AVCAce6EffectGeneratorMemorySize@ACE6@@@0;.?AVCAce6EffectGenerator@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCAce6EffectGeneratorMemorySize@ACE6@@
0x8205793c	ACE6::CAce6EffectGeneratorManager	.?AVCAce6EffectGeneratorManager@ACE6@@@0	.?AVCAce6EffectGeneratorManager@ACE6@@
0x8205794c	ACE6::CAce6EffectObserver	.?AVCAce6EffectObserver@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCAce6EffectObserver@ACE6@@
0x820579dc	ACE6::CAce6LightSpriteTable	.?AVCAce6LightSpriteTable@ACE6@@@0	.?AVCAce6LightSpriteTable@ACE6@@
0x820579e4	ACE6::CAce6EffectMatrixSet	.?AVCAce6EffectMatrixSet@ACE6@@@0	.?AVCAce6EffectMatrixSet@ACE6@@
0x820579ec	ACE6::CAce6EffectManagerInterface	.?AVCAce6EffectManagerInterface@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCAce6EffectManagerInterface@ACE6@@
0x82057c3c	ACE6::CAce6ObjFlashFilter	.?AVCAce6ObjFlashFilter@ACE6@@@0;.?AVCGaObj@galib@@@0	.?AVCAce6ObjFlashFilter@ACE6@@
0x82057c78	ACE6::CAce6EffectOrderingTable	.?AVCAce6EffectOrderingTable@ACE6@@@0	.?AVCAce6EffectOrderingTable@ACE6@@
0x82057c80	ACE6::CAce6EffectWindDirection	.?AVCAce6EffectWindDirection@ACE6@@@0	.?AVCAce6EffectWindDirection@ACE6@@
0x82057c8c	ACE6::CAce6EffectManager	.?AVCAce6EffectManager@ACE6@@@0;.?AVCAce6EffectManagerInterface@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCAce6EffectManager@ACE6@@
0x82057ee0	CEffectAssignTable	.?AVCEffectAssignTable@@@0;.?AVCAce6EffectAssignTable@ACE6@@@0	.?AVCEffectAssignTable@@
0x82057eec	CEffectObserver	.?AVCEffectObserver@@@0;.?AVCAce6EffectObserver@ACE6@@@0;.?AVCAce6SortPoint@ACE6@@@0	.?AVCEffectObserver@@
0x82057f7c	CHeatBlur	.?AVCHeatBlur@@@0;.?AVCEffectRendererBase@@@0	.?AVCHeatBlur@@
0x82057f90	CLightSprite	.?AVCLightSprite@@@0;.?AVCEffectRendererBase@@@0	.?AVCLightSprite@@
0x82057fa4	CMuzzleFlash	.?AVCMuzzleFlash@@@0;.?AVCEffectRendererBase@@@0	.?AVCMuzzleFlash@@
0x82057fb8	CGunSmoke	.?AVCGunSmoke@@@0;.?AVCEffectRendererBase@@@0	.?AVCGunSmoke@@
0x82057fcc	CBurnerLid	.?AVCBurnerLid@@@0;.?AVCEffectRendererBase@@@0	.?AVCBurnerLid@@
0x82057fe0	CAfterBurner	.?AVCAfterBurner@@@0;.?AVCEffectRendererBase@@@0	.?AVCAfterBurner@@
0x82057ff4	CAfterBurnerBord	.?AVCAfterBurnerBord@@@0;.?AVCEffectRendererBase@@@0	.?AVCAfterBurnerBord@@
0x82058008	CLineVapor	.?AVCLineVapor@@@0;.?AVCEffectRendererBase@@@0	.?AVCLineVapor@@
0x8205801c	CShoulderVapor	.?AVCShoulderVapor@@@0;.?AVCEffectRendererBase@@@0	.?AVCShoulderVapor@@
0x82058030	CShoulderVaporMask	.?AVCShoulderVaporMask@@@0;.?AVCEffectRendererBase@@@0	.?AVCShoulderVaporMask@@
0x82058044	CExplosionSmoke	.?AVCExplosionSmoke@@@0;.?AVCEffectRendererBase@@@0	.?AVCExplosionSmoke@@
0x82058058	CExplosionFlame	.?AVCExplosionFlame@@@0;.?AVCEffectRendererBase@@@0	.?AVCExplosionFlame@@
0x8205806c	CExplosionOpacity	.?AVCExplosionOpacity@@@0;.?AVCEffectRendererBase@@@0	.?AVCExplosionOpacity@@
0x82058080	CRadialBlur	.?AVCRadialBlur@@@0;.?AVCEffectRendererBase@@@0	.?AVCRadialBlur@@
0x82058094	CFlashTranslucent	.?AVCFlashTranslucent@@@0;.?AVCEffectRendererBase@@@0	.?AVCFlashTranslucent@@
0x820580a8	CImpactShockWave	.?AVCImpactShockWave@@@0;.?AVCEffectRendererBase@@@0	.?AVCImpactShockWave@@
0x820580bc	CImpactSmoke	.?AVCImpactSmoke@@@0;.?AVCEffectRendererBase@@@0	.?AVCImpactSmoke@@
0x820580d0	CImpactSand	.?AVCImpactSand@@@0;.?AVCEffectRendererBase@@@0	.?AVCImpactSand@@
0x820580e4	CBullet	.?AVCBullet@@@0;.?AVCEffectRendererBase@@@0	.?AVCBullet@@
0x820580f8	CMissileSmokeNeo	.?AVCMissileSmokeNeo@@@0;.?AVCEffectRendererBase@@@0	.?AVCMissileSmokeNeo@@
